"species"	"decimallongitude"	"decimallatitude"	"homepolygon"
"Ceiba glaziovii"	-38.600556	-8.006111	"13"
"Ceiba glaziovii"	-39.140833	-4.907778	"13"
"Ceiba erianthos"	-39.95	-11.402778	"13"
"Ceiba erianthos"	-39.95	-11.402778	"13"
"Ceiba rubriflora"	-44.264444	-15.086667	"2"
"Ceiba glaziovii"	-35.717778	-6.425278	"13"
"Ceiba glaziovii"	-37.241667	-8.566944	"13"
"Ceiba glaziovii"	-37.910556	-9.671111	"13"
"Ceiba rubriflora"	-44.264444	-15.086667	"2"
"Ceiba glaziovii"	-35.881389	-7.268056	"13"
"Ceiba glaziovii"	-35.735	-6.504444	"13"
"Ceiba glaziovii"	-36.855833	-7.513889	"13"
"Ceiba glaziovii"	-39.474167	-11.943889	"1"
"Ceiba speciosa"	-49.2402	-25.4464	"1"
"Ceiba pubiflora"	-44.115278	-19.421944	"7"
"Ceiba jasminodora"	-44.199444	-17.690278	"7"
"Ceiba jasminodora"	-44.196389	-17.708611	"7"
"Ceiba jasminodora"	-44.248889	-17.726389	"7"
"Ceiba jasminodora"	-44.196667	-17.708056	"7"
"Ceiba jasminodora"	-44.196667	-17.708333	"7"
"Ceiba jasminodora"	-44.199167	-17.690278	"7"
"Ceiba jasminodora"	-44.199444	-17.690278	"7"
"Ceiba pubiflora"	-44.075	-19.527778	"7"
"Ceiba pentandra"	-55.946556	-9.937056	"1"
"Ceiba pubiflora"	-43.618889	-15.435556	"13"
"Ceiba jasminodora"	-43.895833	-18.530556	"1"
"Ceiba speciosa"	-43.923333	-14.855556	"13"
"Ceiba pubiflora"	-44.075	-19.527778	"7"
"Ceiba jasminodora"	-44.248889	-17.726111	"7"
"Ceiba jasminodora"	-44.249167	-17.726667	"7"
"Ceiba speciosa"	-57.381611	-9.630861	"1"
"Ceiba speciosa"	-55.699972	-10.814444	"1"
"Ceiba erianthos"	-41.353056	-20.648333	"1"
"Ceiba erianthos"	-41.048611	-13.934722	"13"
"Ceiba jasminodora"	-44.199444	-17.690278	"7"
"Ceiba samauma"	-40.330528	-13.640972	"1"
"Ceiba jasminodora"	-42.700278	-16.080556	"7"
"Ceiba erianthos"	-43.234444	-22.970556	"1"
"Ceiba glaziovii"	-37.5667	-9.13275	"13"
"Ceiba samauma"	-55.178778	-10.454389	"1"
"Ceiba speciosa"	-47.025937	-22.90648	"1"
"Ceiba samauma"	-40.071278	-13.873	"1"
"Ceiba pentandra"	-56.063806	-9.87625	"1"
"Ceiba erianthos"	-40.301389	-20.301111	"14"
"Ceiba glaziovii"	-39.2	-11.5	"13"
"Ceiba speciosa"	-44.956389	-23.074167	"1"
"Ceiba glaziovii"	-44.3075	-13.553889	"2"
"Ceiba glaziovii"	-44.3075	-13.553889	"2"
"Ceiba speciosa"	-44.443889	-22.296944	"1"
"Ceiba speciosa"	-55.428889	-10.488333	"1"
"Ceiba speciosa"	-47.624722	-2.709167	"1"
"Ceiba glaziovii"	-41.43	-10.866111	"13"
"Ceiba speciosa"	-50.215744	-29.915	"1"
"Ceiba erianthos"	-40.734167	-19.292222	"1"
"Ceiba speciosa"	-62.223333	-10.721111	"1"
"Ceiba speciosa"	-62.22358	-10.72133	"1"
"Ceiba pentandra"	-44.874767	-3.171881	"1"
"Ceiba glaziovii"	-38.1106	-10.4211	"13"
"Ceiba glaziovii"	-38.1106	-10.4211	"13"
"Ceiba glaziovii"	-36.487246	-9.184945	"13"
"Ceiba glaziovii"	-36.773056	-9.220833	"13"
"Ceiba samauma"	-70.075833	-9.896667	"1"
"Ceiba speciosa"	-54.979722	-28.232222	"7"
"Ceiba speciosa"	-53.883889	-25.356944	"1"
"Ceiba speciosa"	-49.376667	-26.901667	"1"
"Ceiba speciosa"	-56.035139	-10.579306	"1"
"Ceiba speciosa"	-47.575	-22.905556	"1"
"Ceiba speciosa"	-57.89	-21.998333	"7"
"Ceiba glaziovii"	-39.616667	-11.6	"13"
"Ceiba glaziovii"	-37.243056	-8.210833	"13"
"Ceiba pentandra"	-38.654961	-4.117514	"13"
"Ceiba speciosa"	-51.772078	-29.333186	"1"
"Ceiba glaziovii"	-35.999722	-6.12	"13"
"Ceiba speciosa"	-52.538111	-29.905667	"1"
"Ceiba speciosa"	-52.538056	-29.905556	"1"
"Ceiba speciosa"	-46.9149	-23.2321	"1"
"Ceiba speciosa"	-47.204722	-24.110555	"1"
