"species"	"decimallongitude"	"decimallatitude"	"homepolygon"
"Ceiba speciosa"	-46.1447	-22.7553	"1"
"Ceiba glaziovii"	-35.375	-5.883333	"13"
"Ceiba jasminodora"	-43.67	-18.651667	"7"
"Ceiba speciosa"	-54.8689	-29.1833	"7"
"Ceiba pubiflora"	-48.033333	-15.924167	"7"
"Ceiba pubiflora"	-48.03333	-15.92417	"7"
"Ceiba pubiflora"	-48.033333	-15.924167	"7"
"Ceiba pubiflora"	-44.185	-18.288056	"1"
"Ceiba insignis"	-56.85	-15.166667	"7"
"Ceiba jasminodora"	-42.918056	-16.593056	"7"
"Ceiba insignis"	-56.85	-15.166667	"7"
"Ceiba jasminodora"	-42.918056	-16.593056	"7"
"Ceiba pubiflora"	-48.31278	-14.46056	"7"
"Ceiba speciosa"	-49.6366	-25.0036	"1"
"Ceiba pubiflora"	-44.185	-18.288056	"1"
"Ceiba insignis"	-57.4897	-9.5018	"1"
"Ceiba erianthos"	-39.541111	-12.805556	"1"
"Ceiba glaziovii"	-37.439722	-7.183333	"13"
"Ceiba glaziovii"	-37.439722	-7.183333	"13"
"Ceiba glaziovii"	-37.439722	-7.183333	"13"
"Ceiba glaziovii"	-37.431389	-7.186111	"13"
"Ceiba glaziovii"	-37.431389	-7.186111	"13"
"Ceiba pubiflora"	-44.183333	-18.283333	"1"
"Ceiba pubiflora"	-47.85	-15.86667	"7"
"Ceiba pubiflora"	-46.166667	-15.5	"7"
"Ceiba speciosa"	-47.85	-15.866667	"7"
"Ceiba pubiflora"	-41.007222	-11.679167	"2"
"Ceiba erianthos"	-39.766667	-12.7	"13"
"Ceiba erianthos"	-39.766667	-12.7	"13"
"Ceiba erianthos"	-39.7	-12.716667	"13"
"Ceiba erianthos"	-40.533333	-11.016667	"13"
"Ceiba glaziovii"	-40.559444	-11.027222	"13"
"Ceiba pentandra"	-39.166667	-14.8	"1"
"Ceiba erianthos"	-39.17	-14.8	"1"
"Ceiba glaziovii"	-40.559444	-11.027222	"13"
"Ceiba erianthos"	-39.166667	-14.8	"1"
"Ceiba glaziovii"	-40.116667	-6.65	"13"
"Ceiba insignis"	-38.7865714919747	-10.966916772707	"13"
"Ceiba erianthos"	-39.7	-12.716667	"13"
"Ceiba glaziovii"	-40.116667	-6.65	"13"
"Ceiba glaziovii"	-36.864722	-9.305556	"13"
"Ceiba insignis"	-58.977778	-15.376667	"2"
"Ceiba insignis"	-58.977778	-15.376667	"2"
"Ceiba pubiflora"	-49.116667	-15.316667	"7"
"Ceiba glaziovii"	-38.321111	-7.983333	"13"
"Ceiba erianthos"	-39.533333	-12.8	"1"
"Ceiba erianthos"	-39.533333	-12.8	"1"
"Ceiba pubiflora"	-48.459166	-13.923611	"7"
"Ceiba speciosa"	-48.434167	-22.872222	"7"
"Ceiba pubiflora"	-49.516667	-19.916667	"1"
"Ceiba speciosa"	-47.283333	-14.116667	"7"
"Ceiba speciosa"	-51.1628	-23.3103	"1"
"Ceiba pubiflora"	-47.283333	-14.116667	"7"
"Ceiba pubiflora"	-57.783333	-19.1	"2"
"Ceiba pubiflora"	-57.783333	-19.1	"2"
"Ceiba insignis"	-57.65	-19.016667	"2"
"Ceiba erianthos"	-42.018386387664	-22.8832603958893	"1"
"Ceiba glaziovii"	-40.483333	-11.3	"2"
"Ceiba glaziovii"	-36.5	-7.25	"13"
"Ceiba glaziovii"	-37.999167	-9.388611	"13"
"Ceiba glaziovii"	-35.976111	-8.283333	"13"
"Ceiba speciosa"	-42.833333	-22.433333	"1"
"Ceiba speciosa"	-42.833333	-22.433333	"1"
"Ceiba pubiflora"	-57.65	-19.016667	"2"
"Ceiba erianthos"	-41.783333	-13.316667	"7"
"Ceiba erianthos"	-41.783333	-13.316667	"7"
"Ceiba lupuna"	-68.8	-10.85	"1"
"Ceiba lupuna"	-68.8	-10.85	"1"
"Ceiba insignis"	-68.8	-10.85	"1"
"Ceiba pubiflora"	-57.65	-19.016667	"2"
"Ceiba lupuna"	-68.7498441588876	-11.0196364784498	"1"
"Ceiba speciosa"	-42.083333	-20.716667	"1"
"Ceiba speciosa"	-42.016667	-20.716667	"1"
"Ceiba samauma"	-56.266667	-16.15	"7"
"Ceiba samauma"	-56.266667	-16.15	"7"
"Ceiba jasminodora"	-43.816667	-18.283333	"7"
"Ceiba insignis"	-67.75	-10.5	"1"
"Ceiba jasminodora"	-42.916667	-16.6	"7"
"Ceiba speciosa"	-51.237222	-30.019139	"7"
"Ceiba pubiflora"	-57.65	-19.016667	"2"
"Ceiba pubiflora"	-57.65	-19.016667	"2"
"Ceiba erianthos"	-40.400278	-18.710833	"1"
"Ceiba jasminodora"	-42.916667	-16.6	"7"
"Ceiba pentandra"	-61.43	3.37	"7"
"Ceiba erianthos"	-40.6325	-19.8375	"1"
"Ceiba erianthos"	-42.066667	-20.716667	"1"
"Ceiba erianthos"	-40.6325	-19.8375	"1"
"Ceiba erianthos"	-42.066667	-20.716667	"1"
"Ceiba erianthos"	-42.066667	-20.716667	"1"
"Ceiba erianthos"	-40.6325	-19.8375	"1"
"Ceiba pentandra"	-61.83	3.583333	"1"
"Ceiba pentandra"	-61.833333	3.583333	"1"
"Ceiba pentandra"	-61.42	3.366667	"7"
"Ceiba speciosa"	-54	-30	"1"
"Ceiba insignis"	-63.65	-10.583333	"1"
"Ceiba speciosa"	-63.65	-10.583333	"1"
"Ceiba speciosa"	-63.65	-10.583333	"1"
"Ceiba speciosa"	-63.65	-10.58333	"1"
"Ceiba pubiflora"	-57.783333	-19.1	"2"
"Ceiba pubiflora"	-57.783333	-19.1	"2"
"Ceiba speciosa"	-47.0608	-22.9056	"1"
"Ceiba glaziovii"	-40.983333	-12.016667	"2"
"Ceiba ventricosa"	-40.983333	-12.016667	"2"
"Ceiba glaziovii"	-40.983333	-12.016667	"2"
"Ceiba pubiflora"	-40.665833	-19.658889	"1"
"Ceiba pentandra"	-45.25	-3.5	"1"
"Ceiba erianthos"	-38.68	-12.37	"1"
"Ceiba erianthos"	-38.683333	-12.366667	"1"
"Ceiba erianthos"	-38.683333	-12.366667	"1"
"Ceiba erianthos"	-38.683333	-12.366667	"1"
"Ceiba erianthos"	-40.483333	-11.3	"2"
"Ceiba pentandra"	-45.25	-3.5	"1"
"Ceiba samauma"	-60	-15	"2"
"Ceiba ventricosa"	-38.966667	-12.25	"1"
"Ceiba ventricosa"	-38.966667	-12.25	"1"
"Ceiba ventricosa"	-41.833333	-11.666667	"13"
"Ceiba ventricosa"	-41.833333	-11.666667	"13"
"Ceiba insignis"	-63.05	-11.2	"1"
"Ceiba pubiflora"	-57.65	-19.016667	"2"
"Ceiba speciosa"	-62	-11.2	"1"
"Ceiba insignis"	-62	-11.2	"1"
"Ceiba speciosa"	-63.05	-11.2	"1"
"Ceiba glaziovii"	-37.1	-7.133333	"13"
"Ceiba glaziovii"	-37.1	-7.133333	"13"
"Ceiba glaziovii"	-37.1	-7.133333	"13"
"Ceiba glaziovii"	-37.1	-7.133333	"13"
"Ceiba glaziovii"	-37.1	-7.133333	"13"
"Ceiba glaziovii"	-37.1	-7.133333	"13"
"Ceiba samauma"	-44.05	-5.8	"1"
"Ceiba samauma"	-44.03	-5.8	"1"
"Ceiba samauma"	-45.1	-5.4	"7"
"Ceiba samauma"	-45.1	-5.4	"7"
"Ceiba pubiflora"	-39.227366	-14.771874	"1"
"Ceiba speciosa"	-51.178068	-30.051692	"7"
"Ceiba samauma"	-45.1	-5.4	"7"
"Ceiba glaziovii"	-54.9	-9.37	"1"
"Ceiba insignis"	-43.566667	-12.2	"2"
"Ceiba pubiflora"	-43.56667	-12.2	"2"
"Ceiba glaziovii"	-39.916667	-9.216667	"13"
"Ceiba glaziovii"	-37.285556	-9.312778	"13"
"Ceiba glaziovii"	-39.916667	-9.216667	"13"
"Ceiba glaziovii"	-40.555	-8.241389	"13"
"Ceiba ventricosa"	-40.554939	-8.241358	"13"
"Ceiba insignis"	-63.58	-10.583333	"1"
"Ceiba speciosa"	-63.58	-10.583333	"1"
"Ceiba pentandra"	-38.966667	-12.25	"1"
"Ceiba pentandra"	-38.966667	-12.25	"1"
"Ceiba erianthos"	-39.083333	-12.533333	"1"
"Ceiba pubiflora"	-47.95	-15.52	"7"
"Ceiba insignis"	-47.95	-15.516667	"7"
"Ceiba pubiflora"	-47.95	-15.516667	"7"
"Ceiba pubiflora"	-47.95	-15.52	"7"
"Ceiba glaziovii"	-37.293611	-9.536111	"13"
"Ceiba lupuna"	-67.954701	-9.829928	"1"
"Ceiba glaziovii"	-38.066667	-7.916667	"13"
"Ceiba erianthos"	-39.083333	-12.533333	"1"
"Ceiba pentandra"	-44.67	-4.32	"1"
"Ceiba pentandra"	-44.666667	-4.316667	"1"
"Ceiba pentandra"	-44.67	-4.32	"1"
"Ceiba erianthos"	-39.083333	-12.533333	"1"
"Ceiba pentandra"	-44.67	-4.316667	"1"
"Ceiba pentandra"	-44.67	-4.32	"1"
"Ceiba erianthos"	-39.083333	-12.533333	"1"
"Ceiba erianthos"	-39.083333	-12.533333	"1"
"Ceiba pentandra"	-44.67	-4.32	"1"
"Ceiba erianthos"	-39.083333	-12.533333	"1"
"Ceiba speciosa"	-61.32	-8.87	"1"
"Ceiba samauma"	-59.95	-15	"2"
"Ceiba speciosa"	-51.015556	-30.276667	"7"
"Ceiba speciosa"	-51.214437	-30.034991	"7"
"Ceiba crispiflora"	-51.214437	-30.034991	"7"
"Ceiba speciosa"	-51.214437	-30.034991	"7"
"Ceiba speciosa"	-51.214437	-30.034991	"7"
"Ceiba erianthos"	-42.466667	-19.766667	"1"
"Ceiba pentandra"	-43.929444	-3.379901	"1"
"Ceiba speciosa"	-51.214437	-30.034991	"7"
"Ceiba crispiflora"	-51.214437	-30.034991	"7"
"Ceiba jasminodora"	-43.52338	-18.12236	"7"
"Ceiba pubiflora"	-48.8088306911372	-15.9273217410038	"7"
"Ceiba speciosa"	-51.237222	-30.019139	"7"
"Ceiba erianthos"	-47.6492	-22.7253	"1"
"Ceiba speciosa"	-47.077171	-22.870251	"1"
"Ceiba ventricosa"	-39.733832090064	-14.1408925569318	"1"
"Ceiba pubiflora"	-42.0703866391208	-16.8534505846315	"7"
"Ceiba pubiflora"	-47.784722	-15.6555	"7"
"Ceiba pubiflora"	-51.77	-17.28	"7"
"Ceiba ventricosa"	-38.516667	-11.1	"13"
"Ceiba pubiflora"	-51.77	-17.28	"7"
"Ceiba pubiflora"	-51.8110305684513	-16.9606332195702	"7"
"Ceiba pubiflora"	-51.8110305684513	-16.9606332195702	"7"
"Ceiba speciosa"	-53.18	-27.07	"1"
"Ceiba speciosa"	-53.18	-27.07	"1"
"Ceiba speciosa"	-53.18	-27.07	"1"
"Ceiba speciosa"	-53.18333	-27.06666	"1"
"Ceiba speciosa"	-43.7735051715705	-21.2296313087543	"1"
"Ceiba pubiflora"	-47.6136	-16.7686	"7"
"Ceiba speciosa"	-42.868031	-20.761343	"1"
"Ceiba speciosa"	-42.868031	-20.761343	"1"
"Ceiba speciosa"	-53.7128182256789	-27.1732814947747	"1"
"Ceiba pubiflora"	-47.077171	-22.870251	"1"
"Ceiba speciosa"	-46.668492	-22.694886	"1"
