datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2014-09-25 12:32:23-03"	FEMACT	MIRR	2491	"Ceiba pentandra"	S	Plantae				Malvaceae	Ceiba	pentandra		"(L.) Gaertn."						819		"Milliken, W."	1988	02	15				Brasil	Roraima	"Alto Alegre"	"Ilha de Maracá, SEMA Estação., Poorly drained low ground (baixada) close to station."	-61.333333	3.366667					9999	9999									"Tree, 18m, 75cm dbh. Spreading crown. Bark grey/brown. Blaze:- wood pink/red, with 0.5cm vertical off-white rays spaced +- 3cm apart. Flowers with strong musky scent opening in evening. Calyx green, corolla in evening. Calyx green, corolla cream, ant"	
"2014-09-25 12:32:23-03"	FEMACT	MIRR	947	"Ceiba pentandra"	S	Plantae				Malvaceae	Ceiba	pentandra		"(L.) Gaertn."						5814		"Ratter, J.A."	1987	03	22				Brasil	Roraima	"Alto Alegre"	"Ilha de Maracá, SEMA Estação., Maracá Rain Forest Project."	-61.333333	3.366667					9999	9999									"[BARCODE = *MIRR 00947*]Maracá Rain Forest Project.&nf;Forest margin on rio. Riverine forest.&nf;Tree, 30m tall, 1,5m dbh, with large buttresses.&nf;Nearby leafless at season.&nf;Vernacular name: Sumauma; Forest margin on rio. Riverine forest."	
"2013-07-03 11:10:39-03"	EBDA	BAH	3510	Ceiba	S	Plantae				Malvaceae	Ceiba			Mill.	"Scardino, Noblick, Paranhos, Guedes, C. Queiroz, Paganucci, Nascimento, N. Suely, Quaglia."					808		"Go. Pedra do Cavalo"	1980	10					Brasil	Bahia	Cachoeira	"Estação da Mata (B. Bananeiras)."	0	0	-38.9558	-12.6183	26884												"Árvore com cerca de 6m de altura e de tronco bastante aculeado, flores alvas, pilosas, grandes e vistosas, com frutos."	
"2013-07-03 11:10:39-03"	EBDA	BAH	4654	Ceiba	S	Plantae				Malvaceae	Ceiba			Mill.						274		"S.B. da Silva et"	1983	08	10				Brasil	Bahia	Curaçá	"Fazenda Mina."	0	0	-39.9094	-8.99028	105662												"Árvore de 8 a 10 m de altura com tronco fusiforme, aculeado, floração plena, decídua."	
"2013-07-03 11:10:39-03"	EBDA	BAH	8612	"Ceiba insignis"	S	Plantae				Malvaceae	Ceiba	insignis		"(Kunth) P.E. Gibbs & Semir"	"E.B. dos Santos"	1988	05			2409		"L.A. Mattos Silva"	1988	05	05				Brasil	Bahia	Jussari	"Mata da Estação Experimental Gileno Amado. Km 1 da Rod. Jiussari \"Itatingui (na margem da Rodovia BR 101)."	0	0	-39.4953	-15.1914	21386												"Árvore, 8 m X 15 cm. Estéril."	
"2013-07-03 11:10:39-03"	EBDA	BAH	6079	"Ceiba pentandra enodendron anfractuosum"	S	Plantae				Malvaceae	Ceiba	pentandra	"enodendron anfractuosum"	DC.	"Oliveira, E.L.P.G. de"	1985	04			663		"Oliveira, E.L.P.G. de"	1985	03	29				Brasil	Bahia	Mairi		0	0	-40.1489	-11.7114	25726												"Árvore de 8 m de altura. Flor branca, madeira leve, o tronco cheio de acúleos.IMPORT. PLANTA: Planta característica da região. Madeira de 2a. Categoria. Utilizada na confecção de gamela e coxo. A lã serve para enchimento de travesseiro. Planta tipica da c"	
"2013-07-03 11:10:39-03"	EBDA	BAH	8619	"Ceiba pubiflora"	S	Plantae				Malvaceae	Ceiba	pubiflora		"(A.St.-Hil.) K.Schum."	"L.A. Mattos Silva"					2079		"L.A. Mattos Silva"	1986	05	02				Brasil	Bahia	Ilhéus	"Campus de FESPI, Km 16 da Rod. Ilhéus/Itabuna, próximo ao povoado de Sobradinho. OBS. Por Adriano Lage: Acredito que seja Salobrinho (bairro de periferia colado com a UESC, no Km 16)e não Sobradinho."	0	0	-39.0494	-14.7889	61245		40	40									"Árvore Jovem, aproximadamente 5m X 15cm. Presença de espinhos em toda a extensão do caule e dos ramos. Estéril."	
"2015-01-08 11:04:25-02"	USP	SPFW	3879	"Ceiba pentandra"	S	Plantae				"Malvaceae Bombacoideae"	Ceiba	pentandra		"(L.) Gaertn."	IPT					92		"Nunes, I.N. Oliveira, D.B."	2003	01	01				Brasil	Rondônia	"Costa Marques"	"Reserva Extrativista Estadual Rio Cautário"	-64.1415	-11.952															"mais informações na pasta Resex"	
"2015-01-08 11:04:25-02"	USP	SPFW	3880	"Ceiba pentandra"	S	Plantae				"Malvaceae Bombacoideae"	Ceiba	pentandra		"(L.) Gaertn."	IPT					188		"Nunes, I.N. Oliveira, D.B."	2003	01	01				Brasil	Rondônia	"Costa Marques"	"Reserva Extrativista Estadual Rio Cautário"	-64.088056	-11.950139															"mais informações na pasta Resex"	
"2015-02-23 14:17:34-03"	E	E	E00144547	"Ceiba insignis"	S	Plantae				Malvaceae	Ceiba	insignis								8909		C.A.Cid	1987	04	23				Brasil	Rondônia		"Mun. Porto Velho. Estrada da Serra do Balateiro a 03 km da Vila Campo Novo."	-63.65	-10.583333										"herbarium specimen of unspecified type"		BGBASE:153927			"<a href=\"http://data.rbge.org.uk/herb/E00144547\" target=\"_blank\">more info</a>"	E00144547
